,gamma,epsilon,time,iterations,reward,average_steps,steps_stddev,success_pct,policy,mean_rewards,max_rewards,error
0,0.1,0.0,0.00039196014404296875,3.0,0.34518518518518515,21.0,11.133215970871905,23.299999999999997,"[[0 0 0 0]
 [0 0 0 0]
 [1 1 0 0]
 [0 2 1 0]]","(0.022291666666666664, 0.02310185185185185, 0.02310185185185185)","(0.3448148148148148, 0.34518518518518515, 0.34518518518518515)","(0.011493827160493826, 7.407407407407016e-05, 7.407407407407016e-05)"
1,0.2,0.0,0.0005788803100585938,4.0,0.3589794238683127,19.29953917050691,9.534688053907797,21.700000000000003,"[[1 2 0 3]
 [0 0 0 0]
 [3 1 0 0]
 [0 2 1 0]]","(0.023919753086419755, 0.025862551440329222, 0.025901646090534976, 0.025901646090534976)","(0.3571358024691358, 0.35886748971193416, 0.3589794238683127, 0.3589794238683127)","(0.023809053497942385, 0.00022781893004115636, 1.580246913580538e-05, 1.580246913580538e-05)"
2,0.3,0.0,0.0005667209625244141,4.0,0.3750766666666666,30.368303571428573,20.16894215072454,44.8,"[[1 3 2 3]
 [0 0 0 0]
 [3 1 0 0]
 [0 2 1 0]]","(0.025747916666666662, 0.029208541666666667, 0.029370416666666663, 0.02937083333333333)","(0.3703666666666666, 0.37465, 0.3750766666666666, 0.3750766666666666)","(0.03703666666666666, 0.0008113333333333306, 2.8333333333324662e-05, 2.833333333333507e-05)"
3,0.4,0.0,0.00046062469482421875,4.0,0.39431315372656606,29.943478260869565,19.761762069097337,46.0,"[[1 3 2 3]
 [0 0 0 0]
 [3 1 0 0]
 [0 2 1 0]]","(0.027821097393689986, 0.033345205304069495, 0.03383875055631763, 0.03384372150586801)","(0.3846132235939643, 0.3931246675811614, 0.39431315372656606, 0.39431315372656606)","(0.05128176314586191, 0.002075406553878986, 6.15138749174419e-05, 1.927823197683115e-05)"
4,0.5,0.0,0.0005033016204833984,4.0,0.4178364115501532,27.701123595505617,18.5766102444912,44.49999999999999,"[[1 3 2 3]
 [0 0 0 0]
 [3 1 0 0]
 [0 2 1 0]]","(0.030200653006401464, 0.03857803906765991, 0.039792935227125986, 0.03981960096170129)","(0.3999985711019661, 0.41513615810597976, 0.41783558464156884, 0.4178364115501532)","(0.06666642851699435, 0.004419264085759295, 0.0002106522055129352, 2.258011707790067e-05)"
5,0.6,0.0,0.0005970001220703125,4.0,0.4476230437546666,28.12087912087912,18.98376122995487,45.49999999999999,"[[1 3 2 3]
 [0 0 0 0]
 [3 1 0 0]
 [0 2 1 0]]","(0.032977919999999994, 0.04537021226666666, 0.048131774293333325, 0.04826586325333332)","(0.4166664533333333, 0.4419231402666666, 0.44759156735999994, 0.4476230437546666)","(0.08333329066666666, 0.008471210666666645, 0.0006678801066666677, 2.4111513599997872e-05)"
6,0.7,0.0,0.000728607177734375,4.0,0.48724179449841265,29.869955156950674,19.124354521719905,44.599999999999994,"[[1 3 2 3]
 [0 0 0 0]
 [3 1 0 0]
 [0 2 1 0]]","(0.03626977993302765, 0.05458720968353413, 0.060698320924615676, 0.061199895074459484)","(0.43478256016492456, 0.4755871144559697, 0.48715193161984616, 0.48724179449841265)","(0.10144926403848238, 0.015182865780020455, 0.00196134662276979, 2.3916232867644133e-05)"
7,0.8,0.0,0.001009225845336914,5.0,0.5441748377758919,29.636363636363637,19.277443676762328,48.4,"[[1 3 2 3]
 [0 0 0 0]
 [3 1 0 0]
 [0 2 1 0]]","(0.04026185816723265, 0.06791063762357352, 0.0816272699344077, 0.08373739498788405, 0.0837449441470359)","(0.45454543887177945, 0.5197460174554063, 0.5436180430266273, 0.5441808037429194, 0.5441748377758919)","(0.12121211703247453, 0.026191467061970036, 0.0056855329851781475, 8.35125262003359e-05, 1.8171966277302082e-05)"
8,0.9,0.0,0.0016429424285888672,5.0,0.639006272546881,43.23767383059418,33.44946028828504,79.1,"[[0 3 0 3]
 [0 0 0 0]
 [3 1 0 0]
 [0 2 1 0]]","(0.04524387375709145, 0.08974239309554538, 0.1231024020692693, 0.13519550814446904, 0.13597565279621227)","(0.47619047557552296, 0.5818592514004385, 0.6344602148144629, 0.6389531481227007, 0.639006272546881)","(0.14285714267265687, 0.0446341116283471, 0.017302315371479665, 0.0021011543607753203, 9.408597408611108e-06)"
9,0.99,0.0,0.006659984588623047,6.0,0.8628337776789061,49.194607268464246,41.44858953776246,85.3,"[[0 3 3 3]
 [0 0 0 0]
 [3 1 0 0]
 [0 2 1 0]]","(0.050953771690766134, 0.1318259000915401, 0.19889528062042677, 0.34809175265664327, 0.37559763824108433, 0.3962284407400768)","(0.4975124378095612, 0.6703208783039606, 0.7070637471529178, 0.8543694176417542, 0.8592055372853753, 0.8628337776789061)","(0.1641791044771552, 0.07416221266410666, 0.05000088108543055, 0.04333794421837295, 0.015285640993177807, 9.709167340110625e-07)"
10,0.999,0.0,0.01117253303527832,6.0,0.9311784211511482,48.12289156626506,38.16185354955443,83.0,"[[0 3 3 3]
 [0 0 0 0]
 [3 1 0 0]
 [0 2 1 0]]","(0.05160881841312602, 0.13942747738300215, 0.21531605592998293, 0.4240904313862789, 0.47081691310483836, 0.5334792164056457)","(0.49975012493752413, 0.6827582179223053, 0.7251266427468471, 0.9092330072053223, 0.9186071464029439, 0.9311784211511482)","(0.1664167916041955, 0.07844654930727407, 0.057194148553169594, 0.0660179511812301, 0.03726105586109829, 9.650082677392646e-08)"
